0.00000e+00,5.00000e+00,6.00000e+00,7.00000e+00,8.00000e+00
1.00000e-06,2.00187e+04,2.00036e+04,2.00037e+04,2.00015e+04
1.00000e-05,2.00187e+04,2.00038e+04,2.00029e+04,2.00026e+04
1.00000e-04,2.00185e+04,2.00053e+04,2.00024e+04,2.00020e+04
1.00000e-03,2.00171e+04,2.00116e+04,2.00048e+04,2.00020e+04
1.00000e-02,2.00093e+04,2.00118e+04,2.00104e+04,2.00063e+04
1.00000e-01,2.00036e+04,1.99979e+04,1.99980e+04,2.00001e+04
1.00000e+00,2.00724e+04,2.00344e+04,2.00135e+04,2.00049e+04
1.00000e+01,2.03006e+04,2.03256e+04,2.02652e+04,2.01927e+04
1.00000e+02,2.09946e+04,2.16251e+04,2.20570e+04,2.22388e+04
3.00000e+02,2.51627e+04,2.56445e+04,2.66362e+04,2.75402e+04
6.00000e+02,3.51190e+04,3.36068e+04,3.38446e+04,3.47103e+04
9.00000e+02,4.66041e+04,4.27799e+04,4.16433e+04,4.17849e+04
