0.00000e+00,9.00000e+00,1.00000e+01,1.10000e+01,1.20000e+01
1.00000e-06,1.99926e+04,1.99706e+04,1.99346e+04,1.99032e+04
1.00000e-05,1.99986e+04,1.99872e+04,1.99680e+04,1.99431e+04
1.00000e-04,2.00011e+04,1.99973e+04,1.99879e+04,1.99720e+04
1.00000e-03,2.00008e+04,1.99993e+04,1.99964e+04,1.99909e+04
1.00000e-02,2.00023e+04,1.99994e+04,1.99968e+04,1.99938e+04
1.00000e-01,2.00016e+04,2.00013e+04,1.99994e+04,1.99962e+04
1.00000e+00,2.00019e+04,2.00014e+04,2.00021e+04,2.00035e+04
1.00000e+01,2.01386e+04,2.01060e+04,2.00893e+04,2.00820e+04
1.00000e+02,2.22515e+04,2.21748e+04,2.20634e+04,2.19493e+04
3.00000e+02,2.81917e+04,2.85895e+04,2.87844e+04,2.88343e+04
6.00000e+02,3.56910e+04,3.65691e+04,3.72692e+04,3.77821e+04
9.00000e+02,4.24743e+04,4.33353e+04,4.41806e+04,4.49245e+04
